"FMID","MarketName","xf","yf"
1005969,"\"Y Not Wednesday Farmers Market at Town Center\"",-76.135361,36.841885
1008044,"10:10 Farmers Market",-84.768900,33.719600
1000618,"100-Mile Market",-85.575020,42.295960
1002454,"112st Madison Avenue",-73.949300,40.793900
1005586,"12th & Brandywine Urban Farm Market",-75.534417,39.742100
1008071,"14&U Farmers' Market",-77.032050,38.916998
1007098,"17 on the Square",-77.231600,39.831300
1000059,"175th Street Greenmarket",-73.938500,40.846200
1003877,"17th Ave Market",-93.259100,45.004400
1002619,"17th Street Farmers Market",-77.488600,37.558300
1000709,"19th Annual Highlands Business Partnership Farmers Market",-73.994358,40.404837
1003233,"2012 Wood County Farmers' Market",-89.831050,44.394902
1005309,"22nd and Tasker Farmers' Market",-75.181420,39.932160
1006576,"25th Avenue Farmers' Market",-122.309875,37.543343
1005299,"29th and Wharton Farmers' Market",-75.192040,39.937300
1000380,"2nd Street Public Market",-123.844000,45.456900
1004950,"3 French Hens French Country Market",-88.425153,41.356286
1005636,"32nd Street/Waverly Farmers Market",-76.611000,39.327200
1005310,"33rd and Diamond Farmers' Market",-75.187060,39.988670
1003161,"38th & Meridian Farmers Market",-86.158750,39.826040
1004414,"3rd & Curry St. Farmers Market",-119.767800,39.162570
1002860,"3rd Street N (hwy 11) beside jack's Restaurant",-86.090988,34.019132
1006234,"4th Street Farmers Market",-105.073000,40.395400
1006494,"52 & Shadeland Avenue Farmers Market",-86.047600,39.848100
1005304,"52nd and Haverford Farmers' Market",-75.224610,39.964980
1000060,"57th Street Greenmarket",-73.985800,40.768200
1005306,"58th and Chester Farmers' Market",-75.228324,39.935556
1007272,"5th Street Farmers Market",-84.148700,38.300400
1002678,"61st Street Farmers Market",-87.591308,41.784206
1004249,"6701 Burnet Road Market",-97.701800,30.425800
1000061,"79th Street Greenmarket",-73.975700,40.781800
1000062,"82nd Street Greenmarket",-73.950100,40.773700
1008391,"84 west farmers market (Dothan)",-85.450141,31.232699
1001961,"8th Avenue City Farmers Market",-91.662653,41.972837
1000063,"92nd Street Greenmarket",-73.946400,40.780900
1000064,"97th Street Greenmarket",-73.967000,40.793600
1001683,"A Better Choice Bakery & Market",-77.627708,39.313066
1002697,"A Kentucky Farmer's Market LLC",-85.076795,37.032535
1007585,"AAMC Farmers's Market",-76.612300,39.006000
1005547,"Abacoa Town Center Green Market",-80.129600,26.883800
1004573,"Abbeville Farmers Market",-82.380242,34.177429
1006491,"ABBEVILLE FARMERS MARKET",-85.246600,31.563300
1004598,"Abbotsford Farmers Market",-90.307145,44.945665
1003865,"Abbott Northwestern Farmers Market",-93.262900,44.955600
1002947,"Aberdeen Farmers Market",-98.486600,45.463100
1004031,"Abilene Farmers Market",-97.213900,38.915300
1006744,"Abingdon Farmers Market",-81.977406,36.708734
1000065,"Abingdon Square Greenmarket",-74.005300,40.737200
1006988,"Abington",-70.936900,42.119000
1007070,"Abington Farmers Market",-75.774600,41.425000
1004762,"ABQ Uptown Growers' Market",-106.565838,35.103988
1004763,"ABQ Uptown Growers' Market",-106.633172,35.082375
20001,"ABV Farm Market",-75.099800,40.874300
1002108,"Acadia Farmers' Market in Town Hill",-68.971600,44.590800
1007575,"Acadiana Farmers Market",-92.063400,30.214700
1005122,"Ace Farmers Market",-75.454100,43.209800
1008461,"Acme Ranch Truck Patch",-91.492638,36.991165
1003469,"Acton-Boxborough Farmers Market",-71.474150,42.475180
1003112,"Acushnet farmers market",-70.899900,41.719900
1007519,"Acworth Farmers Market",-84.676700,34.065700
1001393,"Ada Farmer's Market",-96.679700,34.773900
1001083,"Ada Farmers' Market",-85.488968,42.955372
1006969,"AdairCo Farmers Market",-85.297000,37.104300
1005790,"Adams County Farmers' Market Association",-77.237298,39.825018
1008775,"Adams County Farmers' Market Association",-77.200397,39.793778
1007597,"Adams Farmers Market",-73.115800,42.629300
1008006,"Adams Morgan Farmers Market",-77.042600,38.922600
1005109,"Added Value Farm Stand at Governors Island",-74.023100,40.687500
1002464,"Addison Farmers Market",-87.993400,41.932100
1005741,"Adel Farmers Market",-94.017500,41.614400
1005272,"Adelanto Stadium Farmers Market",-117.405000,34.559300
20002,"Adrian Farmers Market",-84.035100,41.900200
1008667,"Afton Village Farmers Market",-80.670172,35.414038
1007586,"AGH Wellness Committee Farmer's Market",-75.211300,38.338800
1003178,"Agricenter International Farmers Market",-89.801873,35.127315
1003562,"Agritopia Farm Stand",-111.726000,33.321900
1001561,"Ahwatukee Farmers' Market",-111.983133,33.331186
1000212,"Aiken County Farmers Market",-81.708494,33.556882
1008575,"Airport District Collaborative Certified Farmers' Market",-120.968681,37.626471
1008054,"Airport Farmers and Flea Market",-82.441117,28.481140
1007542,"Akebono Farmers’ Market",-154.951000,19.497500
1001374,"Akers of Strawberries",-86.701400,30.797900
1001801,"Akron Farmers Market",-96.557300,42.830900
1005061,"Akwesasne Farmers Market",-74.667700,44.973900
1002217,"Ala Moana Farmers' Market",-157.845050,21.291364
1008612,"Alachua County Farmers' Market",-82.352515,29.710665
1006312,"Alamance County Farmers Market",-79.435700,36.094300
20003,"Alameda Farmers' Market",-122.277000,37.774200
1004846,"Alamo Farmers Market",-115.143500,37.330750
1004801,"Alamogordo Alameda Park Farmers' Market",-105.960617,32.912623
1004789,"Alamogordo Otero County Farmers' Market",-105.960600,32.926490
1004070,"Alamosa Farmers Market",-105.864687,37.467893
1004425,"Albany Downtown Farmers Market",-84.153660,31.576840
1002175,"Albany Farmers' Market",-123.105896,44.634984
1005063,"Albert Lea Farmers Market",-93.369112,43.650982
1003118,"Alberta Farmers Market",-122.650000,45.559100
1004886,"ALBERTA FARMERS MARKET",-87.410100,32.231900
1003007,"Albion Farmers Market",-85.414800,41.395900
1004766,"Albuquerque Downtown Growers' Market",-106.656754,35.085834
1004761,"Albuquerque Northeast Farmers' & Artisans' Market",-106.557620,35.150600
1007016,"Albuquerque VA Growers' Market",-106.578000,35.055300
1002222,"Alcona Farmers Market",-83.297300,44.654700
1008252,"Alderson Farmers Market",-80.642024,37.725954
1003236,"Aldrich Arena Farmers Market",-93.087700,44.960900
1007238,"Alexander City Downtown Market",-85.954900,32.944200
1000519,"Alexandria Bay Farmers Market",-75.915700,44.331400
1002159,"Alexandria Farmers Market",-77.043000,38.804800
1007366,"Alexandria Farmers' Market",-95.376724,45.890763
1008414,"alfred farmers market",-77.790122,42.253728
1007217,"Algoma Farm Market",-87.436300,44.607700
1001300,"Algonquin Farmers Market",-88.293000,42.165000
1001501,"Alhambra Farmers Market",-118.123000,34.094000
1007528,"Alii Garden Market Place",-155.982000,19.614400
1008835,"Alisal Certified Farmers' Market",-121.634203,36.673352
1005548,"All Locally Grown Produce",-80.516728,25.513552
1000268,"All-Local Farmers Market",-81.035800,33.984700
1000168,"All-Local Farmers Market 2",-81.004400,33.987400
1001962,"Allamakee Farmers Market",-91.474200,43.256900
1002717,"Allegan Farmers Market",-85.858400,42.528700
1008262,"Alleghany Farmers Market",-81.122593,36.503003
1002836,"Allen County Farmers' Market",-95.405501,37.922165
1008454,"Allen Street Farmers Market",-84.526307,42.729961
1007413,"Allendale County Farmers Market",-81.319100,33.004400
1007716,"Allentown Farigrounds Farmers Market",-75.494200,40.600800
1007083,"Allentown Turnpike Plaza Farmers Market",-75.490183,40.608431
1002964,"Alliance Farmers Market",-102.871000,42.097100
1005675,"Alliance Farmers' Market",-81.102400,40.921600
1006739,"Alliance for the Arts GreenMarket",-81.891280,26.595210
1002683,"Allston Farmers' Market",-71.129900,42.362900
1005134,"Allston Village Farmers Market",-71.137842,42.353384
1006816,"Alma Farmers Market",-99.362500,40.100800
1002250,"Alma Farmers' Market",-84.656984,43.380270
1007836,"Almont Farmers' Market",-83.047500,42.921600
1006235,"Aloha Farmers Market",-122.870000,45.494100
1004894,"Alpena Farmers' Market",-83.429897,45.061184
1005447,"Alpha Nursery Farmers' Market",-115.998000,44.425100
1000735,"ALPHARETTA FARMERS MARKET",-84.295140,34.075892
1007633,"Alpine Flowerland Farmers' Market",-85.438600,44.336500
1005987,"Alsip Farmers Market",-87.700424,41.665699
1003276,"Altadena Farmers' Market",-118.158130,34.200379
1004383,"Altamont Farmer's Market",-74.032500,42.701300
1000357,"Altavista Farmers Market",-79.283800,37.118500
1006749,"Alton Farmers and Artisans Market",-90.185394,38.895809
1004154,"Altoona Farmers Market",-78.246200,40.678700
1001100,"Altus Farmers Market",-99.333600,34.649100
1006578,"Alum Rock Village Farmers' Market",-121.829184,37.365612
1001733,"Alva Farmers Market",-98.660200,36.808300
1005644,"Amador Farmers' Market-- Jackson",-120.774700,38.347510
1005645,"Amador Farmers' Market-- Pine Grove",-120.658300,38.413030
1005646,"Amador Farmers' Market-- Sutter Creek",-120.801700,38.392830
1008490,"Ambler Farmers' Market",-75.225339,40.153274
1001826,"Ambridge Farmers Market",-80.225000,40.581900
1008321,"Amelia Barter Town Farmers Market",-77.984421,37.328752
1008399,"Amelia Farmers Market",-81.454531,30.579786
1006373,"Amenia Farmers Market",-73.554900,41.851300
1002214,"American Falls Farmers Market",-120.173000,40.543200
1002061,"American Market@National Harbor",-77.014220,38.783762
1001367,"American National Bank Downtown Farmers Market Festival",-108.564000,39.068200
1005946,"Amerisafe Downtown Pavilion & Farmers Market",-93.286200,30.846900
1005188,"Amery Farmers Market",-92.362400,45.307200
1001007,"Ames Farmers' Market",-93.617600,42.024900
1001273,"Amherst Farmers Market",-71.625600,42.864600
1000284,"Amherst Farmers' Market",-72.519422,42.374858
1006962,"Amherst Winter Farmers' Market",-71.800300,42.365800
1004055,"Amityville Farmers Market",-73.420436,40.689319
1001135,"Amma Farmers Market",-81.255883,38.583305
1008123,"Anaconda Community Market",-112.948115,46.129234
1005944,"Anacortes Farmers Market",-122.609181,48.516974
1001105,"Anamoose Market in the Park",-100.240610,47.880722
1003055,"Anamosa Farmers Market",-91.279500,42.108300
1007258,"Anchorage Farmers Market",-152.571000,64.317200
1002640,"Anchorage Market & Festival",-149.891000,61.219500
1008251,"Anderson County Farmers Market",-82.652183,34.506745
1008727,"Anderson County Farmers Market",-84.917486,38.050707
1000971,"Anderson Farm Market",-83.882400,39.766800
1004991,"Anderson Farmers' Market",-84.350477,39.078417
1002089,"Anderson Happy Valley Farmers Market",-122.408000,40.448700
1003516,"Andersonville Farmers Market",-87.668700,41.978000
1007647,"Andover Farmers Market",-93.357311,45.219262
1008256,"Andover Farmers Market",-71.138738,42.653466
1000287,"Andrews Farmers Market",-83.823200,35.202700
1006378,"Angelica Farmers' Market",-78.026857,42.309251
1006268,"Angels Camp Farmers Market-Fresh Fridays",-120.542700,38.072158
1006162,"Ann Arbor Farmers Market",-83.746500,42.283800
1001782,"Anna/Union County Farmers Market",-89.209300,37.460400
1002066,"Annandale Farmers Market",-77.174300,38.834800
1006800,"Annapolis FRESHFARM Market",-76.486210,38.976580
1001142,"Anne Arundel County (Riva)",-76.555600,38.976300
1004881,"Anne Heyliger Vegetable Market",-64.879900,17.709900
1006274,"Anniston Downtown Farmers Market",-85.832000,33.662500
1001465,"Anoka County Growers Association/ Anoka Market",-93.384261,45.197726
